iso3,country,group,action,action_label,n_required_enablers,n_proxied_enablers,coverage,readiness,readiness_conservative
SGP,Singapore,Mitigation & Containment,DEFENSIVE_CAPABILITIES,Invest in defensive capabilities,4,4,1.0,-0.056,-0.056
SGP,Singapore,Mitigation & Containment,CONTINGENCY_KILLSWITCH,Contingency / kill-switch protocols,3,3,1.0,0.677,0.677
KOR,South Korea,Detection,FORESIGHT,Institutionalise a foresight function,3,2,0.667,0.557,0.371
KOR,South Korea,Detection,MONITORING,Continuous threat-environment monitoring,3,2,0.667,0.477,0.318
KOR,South Korea,Detection,VERIFICATION,Build verification capacity,3,3,1.0,0.393,0.393
KOR,South Korea,Escalation,SEVERITY_SCHEMA,Publish AI incident severity schema,3,2,0.667,0.824,0.549
KOR,South Korea,Escalation,MANDATORY_REPORTING,Legislate mandatory incident reporting,3,3,1.0,0.875,0.875
KOR,South Korea,Escalation,CROSS_SECTORAL_PATHWAYS,Pre-specify cross-sectoral pathways,3,2,0.667,0.713,0.475
KOR,South Korea,Mitigation & Containment,EMERGENCY_CHANNELS,Build emergency response channels,3,2,0.667,0.59,0.393
KOR,South Korea,Mitigation & Containment,DEFENSIVE_CAPABILITIES,Invest in defensive capabilities,4,4,1.0,0.589,0.589
KOR,South Korea,Mitigation & Containment,CONTINGENCY_KILLSWITCH,Contingency / kill-switch protocols,3,3,1.0,0.875,0.875
SWE,Sweden,Detection,FORESIGHT,Institutionalise a foresight function,3,2,0.667,-0.621,-0.414
SWE,Sweden,Detection,MONITORING,Continuous threat-environment monitoring,3,2,0.667,-0.133,-0.089
SWE,Sweden,Detection,VERIFICATION,Build verification capacity,3,3,1.0,-0.275,-0.275
SWE,Sweden,Escalation,SEVERITY_SCHEMA,Publish AI incident severity schema,3,2,0.667,-0.845,-0.563
SWE,Sweden,Escalation,MANDATORY_REPORTING,Legislate mandatory incident reporting,3,3,1.0,-0.239,-0.239
SWE,Sweden,Escalation,CROSS_SECTORAL_PATHWAYS,Pre-specify cross-sectoral pathways,3,2,0.667,-0.716,-0.477
SWE,Sweden,Mitigation & Containment,EMERGENCY_CHANNELS,Build emergency response channels,3,2,0.667,-0.558,-0.372
SWE,Sweden,Mitigation & Containment,DEFENSIVE_CAPABILITIES,Invest in defensive capabilities,4,4,1.0,-0.41,-0.41
SWE,Sweden,Mitigation & Containment,CONTINGENCY_KILLSWITCH,Contingency / kill-switch protocols,3,3,1.0,-0.239,-0.239
SAU,Saudi Arabia,Detection,FORESIGHT,Institutionalise a foresight function,3,2,0.667,-0.72,-0.48
SAU,Saudi Arabia,Detection,MONITORING,Continuous threat-environment monitoring,3,2,0.667,-0.242,-0.161
SAU,Saudi Arabia,Detection,VERIFICATION,Build verification capacity,3,3,1.0,-0.348,-0.348
SAU,Saudi Arabia,Escalation,SEVERITY_SCHEMA,Publish AI incident severity schema,3,2,0.667,-0.287,-0.192
SAU,Saudi Arabia,Escalation,MANDATORY_REPORTING,Legislate mandatory incident reporting,3,3,1.0,-0.271,-0.271
SAU,Saudi Arabia,Escalation,CROSS_SECTORAL_PATHWAYS,Pre-specify cross-sectoral pathways,3,2,0.667,-0.419,-0.279
SAU,Saudi Arabia,Mitigation & Containment,EMERGENCY_CHANNELS,Build emergency response channels,3,2,0.667,-0.51,-0.34
SAU,Saudi Arabia,Mitigation & Containment,DEFENSIVE_CAPABILITIES,Invest in defensive capabilities,4,4,1.0,-0.31,-0.31
SAU,Saudi Arabia,Mitigation & Containment,CONTINGENCY_KILLSWITCH,Contingency / kill-switch protocols,3,3,1.0,-0.271,-0.271
ARE,United Arab Emirates,Detection,FORESIGHT,Institutionalise a foresight function,3,2,0.667,-0.809,-0.539
ARE,United Arab Emirates,Detection,MONITORING,Continuous threat-environment monitoring,3,2,0.667,-0.121,-0.081
ARE,United Arab Emirates,Detection,VERIFICATION,Build verification capacity,3,3,1.0,-0.267,-0.267
ARE,United Arab Emirates,Escalation,SEVERITY_SCHEMA,Publish AI incident severity schema,3,2,0.667,-0.583,-0.389
ARE,United Arab Emirates,Escalation,MANDATORY_REPORTING,Legislate mandatory incident reporting,3,3,1.0,-0.099,-0.099
ARE,United Arab Emirates,Escalation,CROSS_SECTORAL_PATHWAYS,Pre-specify cross-sectoral pathways,3,2,0.667,-0.508,-0.339
ARE,United Arab Emirates,Mitigation & Containment,EMERGENCY_CHANNELS,Build emergency response channels,3,2,0.667,-0.51,-0.34
ARE,United Arab Emirates,Mitigation & Containment,DEFENSIVE_CAPABILITIES,Invest in defensive capabilities,4,4,1.0,-0.353,-0.353
ARE,United Arab Emirates,Mitigation & Containment,CONTINGENCY_KILLSWITCH,Contingency / kill-switch protocols,3,3,1.0,-0.099,-0.099
EUU,European Union,Detection,FORESIGHT,Institutionalise a foresight function,3,2,0.667,1.116,0.744
EUU,European Union,Detection,MONITORING,Continuous threat-environment monitoring,3,2,0.667,0.81,0.54
EUU,European Union,Detection,VERIFICATION,Build verification capacity,3,3,1.0,0.615,0.615
EUU,European Union,Escalation,SEVERITY_SCHEMA,Publish AI incident severity schema,3,2,0.667,1.376,0.917
EUU,European Union,Escalation,MANDATORY_REPORTING,Legislate mandatory incident reporting,3,3,1.0,0.377,0.377
EUU,European Union,Escalation,CROSS_SECTORAL_PATHWAYS,Pre-specify cross-sectoral pathways,3,2,0.667,0.871,0.581
EUU,European Union,Mitigation & Containment,EMERGENCY_CHANNELS,Build emergency response channels,3,2,0.667,0.19,0.126
EUU,European Union,Mitigation & Containment,DEFENSIVE_CAPABILITIES,Invest in defensive capabilities,4,4,1.0,0.752,0.752
EUU,European Union,Mitigation & Containment,CONTINGENCY_KILLSWITCH,Contingency / kill-switch protocols,3,3,1.0,0.377,0.377
TWN,Taiwan,Detection,FORESIGHT,Institutionalise a foresight function,3,2,0.667,-1.282,-0.855
TWN,Taiwan,Detection,MONITORING,Continuous threat-environment monitoring,3,2,0.667,-0.876,-0.584
TWN,Taiwan,Detection,VERIFICATION,Build verification capacity,3,3,1.0,-0.77,-0.77
TWN,Taiwan,Escalation,SEVERITY_SCHEMA,Publish AI incident severity schema,3,2,0.667,-1.053,-0.702
TWN,Taiwan,Escalation,MANDATORY_REPORTING,Legislate mandatory incident reporting,3,3,1.0,-0.74,-0.74
TWN,Taiwan,Escalation,CROSS_SECTORAL_PATHWAYS,Pre-specify cross-sectoral pathways,3,2,0.667,-1.227,-0.818
TWN,Taiwan,Mitigation & Containment,EMERGENCY_CHANNELS,Build emergency response channels,3,2,0.667,-0.631,-0.421
TWN,Taiwan,Mitigation & Containment,DEFENSIVE_CAPABILITIES,Invest in defensive capabilities,4,4,1.0,-0.666,-0.666
TWN,Taiwan,Mitigation & Containment,CONTINGENCY_KILLSWITCH,Contingency / kill-switch protocols,3,3,1.0,-0.74,-0.74
